,m,n,snr,snr2,p,nsspecfit_slope,nsspecfit_intercept,nsspecfit_r2
248,100,100,5.000000,4.000000,0.150000,3.318023,-4.051223,0.984518
249,100,100,5.000000,4.000000,0.200000,2.943850,-3.315216,0.975862
250,100,100,5.000000,4.000000,0.250000,2.621660,-2.728872,0.963624
251,100,100,5.000000,4.000000,0.300000,2.300177,-2.178289,0.959238
252,100,100,5.000000,4.000000,0.350000,2.149360,-1.879932,0.935108
253,100,100,5.000000,4.000000,0.400000,1.974695,-1.572578,0.930509
254,100,100,5.000000,4.000000,0.450000,1.824752,-1.314784,0.919270
255,100,100,5.000000,4.000000,0.500000,1.743239,-1.135164,0.921761
256,100,100,5.000000,4.000000,0.550000,1.655838,-0.988838,0.906231
257,100,100,5.000000,4.000000,0.600000,1.563448,-0.825572,0.898365
258,100,100,5.000000,4.000000,0.650000,1.475015,-0.685786,0.894763
259,100,100,5.000000,4.000000,0.700000,1.423382,-0.579483,0.895859
260,100,100,5.000000,4.000000,0.750000,1.363098,-0.477617,0.892158
261,100,100,5.000000,4.000000,0.800000,1.307302,-0.380013,0.879190
262,100,100,5.000000,4.000000,0.850000,1.244394,-0.278851,0.878302
263,100,100,5.000000,4.000000,0.900000,1.202815,-0.203722,0.870644
264,100,100,5.000000,4.000000,0.950000,1.159255,-0.131794,0.875296
265,100,100,5.000000,4.000000,1.000000,1.109852,-0.055335,0.881133
266,100,100,5.000000,5.000000,0.100000,4.276678,-5.800733,0.984156
267,100,100,5.000000,5.000000,0.150000,3.478939,-4.273970,0.968283
268,100,100,5.000000,5.000000,0.200000,3.076121,-3.489553,0.950017
269,100,100,5.000000,5.000000,0.250000,2.734811,-2.872512,0.930393
270,100,100,5.000000,5.000000,0.300000,2.402662,-2.302426,0.912366
271,100,100,5.000000,5.000000,0.350000,2.244631,-1.989477,0.873576
272,100,100,5.000000,5.000000,0.400000,2.053835,-1.659766,0.873011
273,100,100,5.000000,5.000000,0.450000,1.889480,-1.382642,0.862980
274,100,100,5.000000,5.000000,0.500000,1.815765,-1.207813,0.851411
275,100,100,5.000000,5.000000,0.550000,1.717117,-1.048187,0.839301
276,100,100,5.000000,5.000000,0.600000,1.615459,-0.872983,0.833862
277,100,100,5.000000,5.000000,0.650000,1.525264,-0.729490,0.824647
278,100,100,5.000000,5.000000,0.700000,1.472475,-0.620144,0.824920
279,100,100,5.000000,5.000000,0.750000,1.407234,-0.512321,0.821807
280,100,100,5.000000,5.000000,0.800000,1.349268,-0.411392,0.804188
281,100,100,5.000000,5.000000,0.850000,1.281788,-0.305231,0.807154
282,100,100,5.000000,5.000000,0.900000,1.238810,-0.227577,0.795864
283,100,100,5.000000,5.000000,0.950000,1.191911,-0.152361,0.805647
284,100,100,5.000000,5.000000,1.000000,1.135357,-0.070089,0.821894
